thumb_mcp,thumb_ip,index_mcp,index_pip,index_dip,middle_mcp,middle_pip,middle_dip,ring_mcp,ring_pip,ring_dip,pinky_mcp,pinky_pip,pinky_dip,image
170.7577981105463,168.32569693214032,171.80376080186173,158.49354640734973,147.93388870725857,177.29324848495565,147.3281473800185,153.78055720111576,168.34330946884162,145.57718375210698,161.1940732196397,170.31377469234945,151.16458454788847,155.470281896305,IMG_9597.jpg
165.63175526432303,176.36959273243562,165.43210387577412,171.43495050142207,178.16897418610606,171.51433366341777,166.66326592756306,177.5319911900776,167.36591485813335,170.71710496967157,178.78986917047325,156.54614602905158,177.22758994598078,177.0163582970514,IMG_5457.JPG
165.25065237283627,171.23866413706776,146.08737726425602,174.80762431414823,175.29038722526766,155.3148219681612,167.34372731544568,171.73412735589633,166.93395288925421,169.30569773697792,176.44617894942192,162.7276935298094,177.93404566329127,174.25340059817867,IMG_5456.JPG
176.05487289912392,174.18364297493022,176.850312582493,177.9472288311196,175.72917020079626,174.8831902477637,176.382048359529,176.53927791134583,165.58466787113707,171.28843816238526,175.06468288276255,174.7382324294767,174.4891447736495,173.38747019395626,IMG_5454.JPG
165.57300307731572,177.05754721709914,153.26389238206306,173.587245566938,176.16479468271334,145.90816695284485,171.11438500502825,173.3552372478158,145.1876228887798,156.9299156081116,170.2067230781126,166.13159656564105,152.58672739493775,172.0335459093234,IMG_5455.JPG
161.91163203546884,164.543558127241,167.67722380552792,169.46250633958965,177.69088152290936,172.32567549153805,168.5127669159371,178.45387010083846,166.05412150303715,172.63681101204799,176.0134679023565,168.06885739648814,171.4934698524923,173.0849045768288,IMG_5458.JPG
155.9680521464182,173.1566536086272,155.87395748750654,153.38842209306685,175.41569478801998,159.85369035660347,152.75735778410032,172.30748989174523,157.1249193964486,162.83799542444697,177.3241744217504,155.39551435727876,174.67178544167416,178.1342628190762,IMG_9600.jpg
164.60899808818996,166.6608386876722,161.6441394727677,162.64666916854193,175.81575141639638,171.3001146828647,162.97775857269804,178.01005219760253,166.73974899822707,169.05089504726223,177.71303637965906,168.03933923204605,172.87583727557734,175.00270505136368,IMG_9601.jpg
166.75093219244243,172.15638309884787,149.5680639844643,158.98331332178523,164.3924343555411,163.5514395621056,144.82319829877,162.47499179947883,157.16809001555842,152.6152304337077,162.5975327834088,155.90085978565472,153.1193346545863,161.6830593315855,IMG_9598.jpg
